,Unnamed: 0,Destination,Origin,T1990,T1995,T2000,T2005,T2010,T2015,T2020,M1990,M1995,M2000,M2005,M2010,M2015,M2020,F1990,F1995,F2000,F2005,F2010,F2015,F2020,origin_lat,origin_long,dest_lat,dest_long
0,0,world,world,152986157.0,161289976.0,173230585.0,191446828.0,220983187.0,247958644.0,280598105.0,77563467.0,81581501.0,87719833.0,97663081.0,113940881.0,128238058.0,145655844.0,75422690.0,79708475.0,85510752.0,93783747.0,107042306.0,119720586.0,134942261.0,,,,
1,5,world,latin america and the caribbean,15273399.0,19669704.0,24628700.0,29338206.0,34637650.0,36206000.0,42890481.0,7544689.0,9726163.0,12182539.0,14495367.0,16857618.0,17582139.0,20697275.0,7728710.0,9943541.0,12446161.0,14842839.0,17780032.0,18623861.0,22193206.0,19.432384,-100.460844,,
2,6,world,oceania (excluding australia and new zealand),272517.0,313061.0,375176.0,407138.0,441903.0,495220.0,565281.0,133623.0,152358.0,183319.0,198892.0,214866.0,240815.0,273803.0,138894.0,160703.0,191857.0,208246.0,227037.0,254405.0,291478.0,-6.82688,145.715927,,
3,7,world,australia and new zealand,689030.0,758234.0,871660.0,984280.0,1149265.0,1256202.0,1404924.0,335351.0,366709.0,421127.0,481926.0,573939.0,622696.0,693842.0,353679.0,391525.0,450533.0,502354.0,575326.0,633506.0,711082.0,-25.79385,138.356838,,
4,21,world,africa,20621464.0,22341394.0,22080003.0,25241406.0,29193852.0,35111959.0,40567163.0,11215846.0,12073478.0,11985328.0,13778387.0,15998855.0,18809167.0,21729832.0,9405618.0,10267916.0,10094675.0,11463019.0,13194997.0,16302792.0,18837331.0,11.375205,18.667941,,
5,22,world,eastern africa,7784743.0,7734774.0,6079992.0,6192747.0,7524192.0,9824290.0,12027289.0,4056986.0,4002246.0,3167304.0,3320996.0,3932812.0,5021946.0,6136440.0,3727757.0,3732528.0,2912688.0,2871751.0,3591380.0,4802344.0,5890849.0,1.284477,36.395127,,
6,23,world,middle africa,1922243.0,1857602.0,2439360.0,2726556.0,3007543.0,3816990.0,4420662.0,958727.0,933704.0,1224847.0,1386182.0,1495622.0,1910761.0,2223566.0,963516.0,923898.0,1214513.0,1340374.0,1511921.0,1906229.0,2197096.0,0.245791,20.311119,,
7,24,world,northern africa,5286657.0,5852421.0,6441989.0,7966421.0,9251128.0,10914748.0,12282625.0,3079002.0,3395672.0,3738753.0,4551329.0,5467735.0,6230819.0,6997030.0,2207655.0,2456749.0,2703236.0,3415092.0,3783393.0,4683929.0,5285595.0,25.349166,20.092951,,
8,25,world,southern africa,576752.0,604456.0,732312.0,904614.0,1199813.0,1129951.0,1278435.0,350233.0,333229.0,373117.0,456787.0,610233.0,545606.0,628886.0,226519.0,271227.0,359195.0,447827.0,589580.0,584345.0,649549.0,-23.955657,23.723146,,
9,26,world,western africa,5051069.0,6292141.0,6386350.0,7451068.0,8211176.0,9425980.0,10558152.0,2770898.0,3408627.0,3481307.0,4063093.0,4492453.0,5100035.0,5743910.0,2280171.0,2883514.0,2905043.0,3387975.0,3718723.0,4325945.0,4814242.0,13.01892,-4.551812,,
10,27,world,asia,56957000.0,59147922.0,65333613.0,72806043.0,88122177.0,103378019.0,114911484.0,30220434.0,31337811.0,34677458.0,38928847.0,48356859.0,57068023.0,63957509.0,26736566.0,27810111.0,30656155.0,33877196.0,39765318.0,46309996.0,50953975.0,47.594606,87.520641,,
11,28,world,central asia,5719892.0,6159859.0,6462345.0,6918899.0,7232295.0,7428032.0,7835504.0,2757747.0,2978669.0,3122316.0,3372771.0,3558067.0,3640447.0,3807379.0,2962145.0,3181190.0,3340029.0,3546128.0,3674228.0,3787585.0,4028125.0,44.488183,66.966089,,
12,29,world,eastern asia,7049024.0,8166675.0,9352688.0,11019974.0,12863294.0,14417725.0,14820004.0,3588473.0,4108628.0,4618538.0,5350635.0,6119053.0,6820704.0,6898164.0,3460551.0,4058047.0,4734150.0,5669339.0,6744241.0,7597021.0,7921840.0,35.736775,105.679125,,
13,30,world,south-eastern asia,7725395.0,9694248.0,12088166.0,14537009.0,18113912.0,20787865.0,23580736.0,3826278.0,4753131.0,5881894.0,7136416.0,9011911.0,10329729.0,11903748.0,3899117.0,4941117.0,6206272.0,7400593.0,9102001.0,10458136.0,11676988.0,-0.004774,114.124768,,
14,31,world,southern asia,25384128.0,22910124.0,24435349.0,26428791.0,33850093.0,39053098.0,43394045.0,14296925.0,13063794.0,14057056.0,15523113.0,20886100.0,24330659.0,27404198.0,11087203.0,9846330.0,10378293.0,10905678.0,12963993.0,14722439.0,15989847.0,25.436697,75.162443,,
15,32,world,western asia,11078561.0,12217016.0,12995065.0,13901370.0,16062583.0,21691299.0,25281195.0,5751011.0,6433589.0,6997654.0,7545912.0,8781728.0,11946484.0,13944020.0,5327550.0,5783427.0,5997411.0,6355458.0,7280855.0,9744815.0,11337175.0,25.422319,44.576248,,
16,33,world,europe,47730278.0,48636003.0,49727784.0,51336984.0,54711301.0,56577753.0,63273663.0,22438898.0,22816174.0,23247653.0,24061192.0,25508453.0,26369327.0,29748898.0,25291380.0,25819829.0,26480131.0,27275792.0,29202848.0,30208426.0,33524765.0,48.753021,18.93452,,
